"SHN_Id","Datnai","Sexe","Catlib","FedNom","Discipline","Club","DepLib","RegionLib","Fin de droits","Date début"
"shn11958","2003","F         ","Espoir","TENNIS DE TABLE","Tennis de table","METZ Tennis de Table","MOSELLE","LORRAINE","10/31/2015","11/1/2014"
"shn11959","1995","F         ","Espoir","TIR","Carabine","TMN HAUTBOURDIN","NORD","NORD-PAS-DE-CALAIS","10/31/2015","11/1/2014"
"shn11960","1973","F         ","Reconversion","TRIATHLON","Triathlon","","ALPES-MARITIMES","P.A.C.A.","10/31/2015","11/1/2014"
"shn11961","1999","F         ","Espoir","VOLLEY BALL","Volley ball","UNION SPORT ISSOIRE VB","PUY-DE-DOME","AUVERGNE","10/31/2015","11/1/2014"
"shn11962","2000","F         ","Espoir","SQUASH","Squash","SQUASH CONSTELLATION 31","HAUTE-GARONNE","MIDI-PYRENEES","10/31/2015","11/1/2014"
"shn11963","2000","M         ","Espoir","BASKET-BALL","Basket-ball","JUB JALLAIS BASKET","MAINE-ET-LOIRE","PAYS DE LA LOIRE","10/31/2015","11/1/2014"
"shn11964","1994","F         ","Reconversion","GYMNASTIQUE","Gymnastique rythmique","LICENCE INDIVIDUELLE FFG","PARIS","ILE-DE-FRANCE","10/31/2015","11/1/2014"
"shn11965","1999","M         ","Jeune","BASEBALL","Baseball","PUC PARIS UNIVERSITE CLUB","HERAULT","LANGUEDOC-ROUSSILLON","10/31/2015","11/1/2014"
"shn11966","1997","M         ","Espoir","AVIRON","Aviron","NANCY SN","MEURTHE-ET-MOSELLE","LORRAINE","10/31/2015","11/1/2014"
"shn11967","1995","M         ","Senior","TENNIS DE TABLE","Tennis de table","ISTRES","BOUCHES-DU-RHONE","P.A.C.A.","10/31/2015","11/1/2014"
"shn11968","1993","M         ","Senior","TENNIS DE TABLE","Tennis de table","GARDE DU VOEU HENNEBONT","MORBIHAN","BRETAGNE","10/31/2015","11/1/2014"
"shn11969","2000","F         ","Espoir","JUDO","Judo","A.RAPHAELOISE A.M.","VAR","P.A.C.A.","10/31/2015","11/1/2014"
"shn11970","1997","F         ","Espoir","ESCRIME","Sabre","MEYLAN ESCRIME","ISERE","RHONE-ALPES","10/31/2015","11/1/2014"
"shn11971","1998","F         ","Espoir","PENTATHLON MODERNE","Pentathlon moderne","BEC","GIRONDE","AQUITAINE","10/31/2015","11/1/2014"
"shn11972","2000","M         ","Espoir","FOOTBALL","Football","LA ROCHE VENDEE FOOTBALL","VENDEE","PAYS DE LA LOIRE","10/31/2015","11/1/2014"
"shn11973","1996","M         ","Jeune","NATATION","Water-polo","OLYMPIC NICE NATATION","ALPES-MARITIMES","P.A.C.A.","10/31/2015","11/1/2014"
"shn11974","1997","M         ","Espoir","VOILE","Planche a voile","13022 - YCPR","BOUCHES-DU-RHONE","P.A.C.A.","10/31/2015","11/1/2014"
